alter;geschlecht;smartphonenutzer;nebentatigkeitStunden;nebentatigkeit;internet;hauptnutzung;studienrelevanz;tagesnutzung;beforeSleep;leaveSmartphone;alongFriends;comfort;weekWithout;stress;disadvantages
21-25;w;ja;0;nein;ja;Telefonieren, Whatsapp, Sonstiges;ja;5-10h;ja;nein;ja;ja;ja;ja;erreichbarkeit
21-25;w;ja;11;Job;ja;Facebook, Whatsapp, Sonstiges;ja;5-10h;ja;nein;ja;ja;nein;ja;nein
21-25;w;ja;0;nein;ja;Telefonieren, Facebook, Whatsapp;ja;5-10h;ja;nein;ja;ja;nein;manchmal;nein
21-25;w;ja;0;nein;ja;Telefonieren, Whatsapp, Sonstiges;ja;5-10h;ja;nein;ja;ja;ja;manchmal;nein
21-25;w;ja;15;Job;ja;Spiele, Telefonieren, Facebook, Whatsapp, Sonstiges;ja;1-5h;ja;nein;ja;ja;ja;ja;nein
21-25;w;ja;8;Job;ja;Spiele, Telefonieren, Facebook, Whatsapp, Sonstiges;ja;5-10h;ja;nein;ja;ja;nein;manchmal;gesundheitlich, sozial
21-25;m;ja;6;ehrenamtlich;ja;Telefonieren, Whatsapp;ja;1-5h;ja;manchmal;nein;nein;nein;ja;nein
21-25;w;ja;0;nein;ja;Telefonieren, Whatsapp;ja;5-10h;ja;nein;ja;ja;nein;nein;nein
17-20;w;ja;10;Job;ja;Spiele, Telefonieren, Facebook, Whatsapp, Sonstiges;ja;5-10h;ja;nein;ja;ja;nein;manchmal;augen
17-20;w;ja;10;Sport;ja;Telefonieren, Whatsapp, Sonstiges;ja;1-5h;ja;nein;ja;ja;nein;manchmal;abhängigkeit
17-20;w;ja;0;nein;ja;Whatsapp;ja;1-5h;ja;nein;ja;ja;nein;manchmal;abhängigkeit, beschäftigung
21-25;m;ja;10;Job, Sport;ja;Spiele, Telefonieren, Facebook, Whatsapp, Sonstiges;ja;10+ h;ja;ja;ja;ja;nein;nein;ja
17-20;m;ja;6;Sport;ja;Facebook, Whatsapp;ja;1-5h;ja;manchmal;ja;ja;ja;ja;nein
21-25;m;ja;12;Job;ja;Spiele, Telefonieren, Facebook, Whatsapp;ja;1-5h;ja;nein;ja;ja;ja;ja;nein
21-25;m;ja;30;Job, Sport;ja;Telefonieren, Whatsapp, Sonstiges;ja;1-5h;ja;nein;nein;ja;ja;manchmal;gesundheitlich, augen
17-20;m;ja;10;Sport;ja;Facebook, Whatsapp;ja;5-10h;ja;nein;ja;ja;nein;manchmal;nein
25+;w;ja;0;nein;ja;Telefonieren. Whatsapp, Sonstiges;ja;1-5h;ja;nein;ja;ja;ja;ja;zeitverlust
25+;m;ja;20;Job;ja;Spiele, Telefonieren, Facebook, Whatsapp, Sonstiges;ja;1-5h;ja;nein;ja;ja;ja;manchmal;nein
21-25;w;ja;16;Job;ja;Telefonieren, Whatsapp;nein;5-10h;ja;manchmal;nein;ja;nein;manchmal;nein
17-20;m;ja;36;Job, Sport;ja;Telefonieren, Facebook, Whatsapp;ja;5-10h;ja;nein;ja;ja;ja;ja;gesundheitlich, augen
